condition,fold,round_id,run_id,conversation_path,prompt_chars,prompt_tokens,completion_tokens,visible_observation_count,prompt_evidence_count,evidence_universe_count,prompt_rag_claim_count,prompt_rag_short_label_count,rag_claims_with_mismatch_warning,ambiguous_rag_short_label_count,ambiguous_rag_short_labels_json,response_evidence_count,response_rag_citation_count,response_rag_evidence_ids_json,response_used_rag,claim_modality,preferred_combination_count,preferred_residues_json,response_statement,response_expected_outcome
kg_base,0,1,knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z/round_01/llm/scientist/conversations/00001_reasoning_draft_attempt-00.json,73686,23758,8089,96,32,32,0,0,0,0,{},11,0,[],False,association,20,"{""39"":[""I"",""L""],""40"":[""Y"",""W"",""F"",""H"",""A""],""41"":[""G""],""54"":[""A"",""C""]}","In the closed GB1 pool with mutable positions 39, 40, 41, 54, observed round-0 fitness measurements show a strong association for aromatic/hydrophobic substitutions at position 40 (Y, W, F, H, A), maintenance of G at position 41, hydrophobic substitutions I/L at position 39, and A/C at position 54. These associations are confounded by full-variant epistasis and are stated as soft directional priors, not causal requirements.",A round-1 selected batch enriched for these preferred residues will have a median measured fitness greater than the median of the pre-round visible observations.
kg_base,0,2,knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z/round_02/llm/scientist/conversations/00067_reasoning_draft_attempt-00.json,88336,28966,4237,112,32,34,0,0,0,0,{},12,0,[],False,directional_prior,16,"{""39"":[""I"",""L""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""C"",""A""]}","In the closed GB1 pool with mutable positions 39, 40, 41, 54, visible measured fitness and KG aggregate evidence support soft directional preferences: position 39 favors I or L; position 40 favors aromatic/hydrophobic Y, W, F, or H; position 41 favors G; position 54 favors C or A. These are association-derived priors only, confounded by full-variant epistasis.","A batch enriched for these preferred residues (especially 40Y combined with 54C/A and 39I/L) is expected to have median measured fitness above the pre-round visible observation median, with top variants exceeding the current best visible mean as measured in this assay."
kg_base,0,3,knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z/round_03/llm/scientist/conversations/00133_reasoning_draft_attempt-00.json,94888,31723,5570,128,32,36,0,0,0,0,{},12,0,[],False,directional_prior,16,"{""39"":[""I"",""L""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""C"",""A""]}","In the closed GB1 pool with mutable positions 39,40,41,54, visible round 0-2 measured fitness and KG measured_aggregate associations support soft directional priors: position 39 favors hydrophobic I or L; position 40 favors aromatic/hydrophobic Y, W, F, or H; position 41 favors wild-type G, as non-G substitutions are predominantly low; position 54 favors C or A. Top realized variants such as S102 (V39I;D40Y;V54C), S103 (V39L;D40Y;V54C), S110 (V39I;D40W;V54C), and S111 (V39L;D40W;V54C) exceed baseline. These are association-only priors, confounded by full-variant epistasis.","Variants containing the preferred residues, with position 41 kept as G, are expected to produce a batch median measured fitness above the pre-round visible observation median, especially combinations of position 39 I/L, position 40 Y/W/F/H, and position 54 C/A."
kg_base,1,1,knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z/round_01/llm/scientist/conversations/00001_reasoning_draft_attempt-00.json,73686,23758,6478,96,32,32,0,0,0,0,{},12,0,[],False,directional_prior,48,"{""39"":[""L"",""I"",""M""],""40"":[""Y"",""W"",""F"",""H"",""A"",""I"",""V"",""N""],""41"":[""G""],""54"":[""A"",""C""]}","Visible round-0 GB1 fitness shows strongest gains from position 40 replacements by aromatic/hydrophobic residues (Y/W/F/H plus A/I/V/N), while position 41 tolerates almost no substitution from G and positions 39/54 permit moderate hydrophobic or small side chains (L/I/M and A/C). This suggests a directional prior for retaining G41 and enriching position 40 and tolerant positions 39/54.",Variants carrying the preferred residues at the mutable sites—especially position 40 Y/W/F/H/A/I/V/N with G41 and position 39 L/I/M or position 54 A/C—are expected to have a selected batch median measured fitness above the pre-round visible observation median.
kg_base,1,2,knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z/round_02/llm/scientist/conversations/00067_reasoning_draft_attempt-00.json,88116,28864,6418,112,32,34,0,0,0,0,{},12,0,[],False,directional_prior,60,"{""39"":[""I"",""L"",""M"",""V"",""C""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""C"",""A"",""V""]}","Measured GB1 variants show the highest fitness when position 41 remains G and positions 39, 40, and 54 carry hydrophobic/aromatic substitutions: I/L/M/V/C at 39, Y/W/F/H at 40, and C/A/V at 54. Position 41 substitutions away from G are consistently low, so G41 is a strong soft anchor. This directional prior should guide round-2 selection without excluding exploratory combinations.","Variants selected with these preferred residues, especially Y/W/F/H at 40 combined with I/L/M/V at 39 and C/A/V at 54 while retaining G41, will yield a batch median measured fitness above the median of pre-round visible observations."
kg_base,1,3,knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z/round_03/llm/scientist/conversations/00133_reasoning_draft_attempt-00.json,94588,31472,7878,128,32,35,0,0,0,0,{},10,0,[],False,directional_prior,24,"{""39"":[""L"",""I"",""M""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""C"",""A""]}","Visible GB1 fitness is highest when position 41 remains G and positions 39, 40, and 54 carry hydrophobic/aromatic residues: L/I/M at 39, Y/W/F/H at 40, and C/A (with V54 wild type also tolerated in some high-fitness variants) at 54. Position 41 substitutions away from G are consistently low, so G41 is a strong soft anchor. This directional prior guides selection without excluding exploratory combinations.","A batch selected under this prior is expected to have median measured fitness greater than the median of currently visible pre-round observations, with top variants carrying G41 plus combinations of L/I at 39, Y/W/F/H at 40, and C/A or V at 54."
kg_base,2,1,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z/round_01/llm/scientist/conversations/00001_reasoning_draft_attempt-00.json,73686,23758,7497,96,32,32,0,0,0,0,{},9,0,[],False,association,27,"{""39"":[""C"",""L"",""I""],""40"":[""Y"",""F"",""W""],""41"":[""G""],""54"":[""V"",""A"",""C""]}","In the visible closed pool, round-0 measured fitness for GB1 supports a soft directional association: position 40 prefers aromatic/hydrophobic residues Y, F, W; position 39 prefers C, L, I; position 41 strongly favors retaining G; position 54 prefers V or A/C as context-dependent alternatives. Complete-variant epistasis may confound additive residue effects.","A batch enriched for variants carrying these preferred residues (especially Y/F/W at 40, C/L/I at 39, G at 41, and V/A/C at 54) will show a median measured fitness above the median of the pre-round visible observations."
kg_base,2,2,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z/round_02/llm/scientist/conversations/00067_reasoning_draft_attempt-00.json,89449,29041,5677,112,32,34,0,0,0,0,{},10,0,[],False,directional_prior,9,"{""39"":[""L"",""I"",""C""],""40"":[""Y"",""W"",""F""],""41"":[""G""],""54"":[""V""]}","Visible round-0 and round-1 measurements support a soft directional association: position 40 favors aromatic residues Y/W/F; position 39 favors L/I/C, with top double-mutant backgrounds V39L,D40Y (fitness 5.075) and V39I,D40Y (4.388); position 41 strongly favors retaining G; position 54 favors V over A/C in high-fitness backgrounds. Complete-variant epistasis may confound additive residue effects.","Selected variants enriched for preferred residues (L/I/C at 39, Y/W/F at 40, G at 41, V at 54) will have median measured fitness greater than the pre_round_visible_observations median."
kg_base,2,3,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z/round_03/llm/scientist/conversations/00133_reasoning_draft_attempt-00.json,95764,31633,9477,128,32,36,0,0,0,0,{},10,0,[],False,association,4,"{""39"":[""L"",""I""],""40"":[""F"",""Y""],""41"":[""G""],""54"":[""V""]}","Visible round-0 through round-2 measurements support a soft directional association focusing on complete variants rather than additive residue averages: position 39 favors L and I (L stronger when paired with Y/F), position 40 favors F and Y, position 41 strongly favors retaining G, and position 54 favors V. Top observed backgrounds are V39L,D40Y (fitness 5.075) and V39L,D40F (4.029); broad substitution at 41 or 54 in observed doubles often reduces fitness. Complete-variant epistasis may confound additive residue effects.","The next selected batch is expected to show a median measured fitness above the pre-round visible pool median, with the strongest candidates combining 39 L/I, 40 Y/F, 41 G, and 54 V."
kg_base_rag,0,1,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z/round_01/llm/scientist/conversations/00001_reasoning_draft_attempt-00.json,112128,36027,6215,96,32,40,12,8,6,0,{},10,1,"[""E34""]",True,association,48,"{""39"":[""C"",""L"",""I"",""M""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""A"",""C"",""V""]}","Initial visible screen associates high GB1 assay fitness with position-40 aromatic/hydrophobic residues (Y, W, F, H), with D40Y and D40W over 3.8 and D40H/D40F over 3.0. Position 41 strongly prefers WT G; nearly all alternative substitutions are adverse. Position 39 is context-dependent: V39C alone is low but V39C;D40Y is the best observed variant, while V39L/I are favorable single substitutions. Position 54 A/C are mildly beneficial single substitutions above WT V but remain untested with top position-40 variants.",The median assay fitness of a selected batch enriched for position-40 Y/W/F/H with position-41 G and including either position-39 L/I/C or position-54 A/C will be greater than the pre-round visible observations median; absence of required observations yields INCONCLUSIVE.
